2055,1727,1436,1436,1760,1760,1659,1734,1734,1496,1496,1893,2586,2586,1587,2035,2035,3923,3923,3912,3164,3164,1583,1583,1576,1995,1995,1831,1831,1480,1728,1728,1915,1797,1797,1471,1471,1921,2707,2707,1639,1639,1999,3928,3928,3881,3881,3096,2017,2017,1855,1444,1444,1684,1684,1923,1680,1680,1886,1886,1841,1979,1979,1647,1647,2578,1771,1771,1943,3917,3917,3923,3923,3169,1952,1952,1959,1959,1528,1466,1466,1985,1985,1792,1983,1983,1892,1947,1947,1711,1711,2575,1791,1791,2003,2003,3903,3900,3900,3144,3144,1500,1640,1640,1995,1735,1735,1448,1448,1699,2127,2127,1927,1927,1468,1785,1785,2799,2799,1579,1991,1991,3914,3870,3870,3184,3184,1630,1512,1512,1921,1921,1807,1468,1468,1587,1587,2320,2007,2007,1492,1867,1867,2719,2719,1632,1991,1991,3907,3907,3881,3136,3136,1967,1967,1855,1407,1407,1580,1888,1888,1699,1699,2352,2064,2064,1943,1943,1967,2585,2585,1712,1712,2015,3914,3914,3880,3152,3152,1865,1865,1987,1430,1430,1504,1504,1861,1833,1833,2575,2575,2080,1911,1911,2199,2682,2682,1760,1760,1975,3990,3990,3871,3871,3128,1524,1524,1608,1608,1920,1759,1759,1452,1619,1619,2577,2577,2236,1468,1468,2193,2193,2983,1727,1727,1919,1919,3687,3654,3654,3304,1806,1806,1296,1296,1828,2059,2059,1597,1597,1399,2095,2095,2159,2159,1520,1978,1978,2961,1663,1663,1983,1983,3935,3920,3920,3152,3152,1897,1887,1887,1487,1487,1536,1843,1843,1691,1998,1998,2144,2144,1920,1907,1907,2756,2756,1743,1935,1935,3891,3891,3889,3136,3136,1792,1903,1903,1647,1647,1536,1826,1826,1763,1763,1791,2168,2168,1861,1861,1807,2638,2638,2175,1983,1983,3932,3932,3887,3152,3152,1615,1615,1516,1824,1824,1791,1791,1484,1551,1551,1446,2280,2280,1456,1456,1696,2974,2974,2461,2461,2023,3925,3925,3902,3902,3144,1658,1658,1484,1761,1761,1807,1807,1286,1455,1455,1294,1294,2332,1492,1492,1612,1612,2885,2623,2623,2127,3824,3824,3488,3488,3121,1793,1793,1863,1863,1486,1512,1512,1771,1771,1703,1600,1600,2264,1851,1851,1742,1742,2303,2535,2535,2159,2159,3893,3872,3872,3152,3152,1760,1943,1943,1551,1532,1532,1722,1722,1655,2144,2144
2345,2345,2016,2016,1951,2603,2603,2537,2537,2624,950,950,140,1270,1270,1454,1454,2307,2648,2648,2729,2729,2142,2316,2316,2239,2239,2352,2272,2272,2047,2626,2626,2695,2695,2476,912,912,160,160,1284,1726,1726,2320,2320,2721,2731,2731,2151,2360,2360,2263,2263,2320,2275,2275,1854,1854,2476,2782,2782,2511,2511,925,91,91,577,1545,1545,2114,2114,2635,2610,2610,2139,2139,2371,2319,2319,2435,2435,2215,1910,1910,2601,2578,2578,2663,2663,866,199,199,580,580,1792,2278,2278,2652,2652,2569,2101,2101,2383,2279,2279,2368,2368,2192,1927,1927,2618,2618,2572,2704,2704,888,888,176,1226,1226,2380,2191,2191,2604,2604,2753,2137,2137,2254,2254,2310,2288,2288,2304,2304,2111,2635,2635,2655,2655,2655,768,768,176,1200,1200,2408,2408,1921,2752,2752,2731,2731,2192,2240,2240,2333,2264,2264,2321,2321,2111,2605,2605,2699,2699,2607,917,917,179,179,655,1871,1871,1681,2704,2704,2591,2591,2099,2248,2248,2196,2196,2298,2273,2273,1915,1915,2576,2512,2512,2695,879,879,195,195,688,1799,1799,1939,1939,2670,2576,2576,2130,2130,2209,2308,2308,2304,2304,2304,2031,2031,2630,2559,2559,2640,2640,925,224,224,1194,1194,2896,2159,2159,2612,2673,2673,1944,1944,2085,2240,2240,2208,2208,2272,2029,2029,2672,2672,2673,2527,2527,855,188,188,1201,1201,2640,1751,1751,2693,2693,2736,2099,2099,2067,2067,2425,2074,2074,2288,1971,1971,2601,2601,2699,2591,2591,919,919,227,678,678,1775,1775,1493,2766,2766,2612,2259,2259,2096,2096,2324,2128,2128,2272,2272,1901,2595,2595,2546,2546,2656,946,946,139,813,813,1839,1839,1687,2671,2671,2529,2529,2176,2021,2021,2424,2424,2099,2272,2272,1842,2691,2691,2516,2516,2544,933,933,176,176,1142,2288,2288,1775,1775,2596,2688,2688,2083,1962,1962,2232,2232,1975,2320,2320,1967,1967,2656,2691,2691,2398,2398,886,212,212,1212,2750,2750,1535,1535,2651,2728,2728,2144,2144,1855,2402,2402,1990,1990,2272,2066,2066,2624,2768,2768,2575,2575,875,179,179,802,802,1358,1327,1327,2747,2747,2582,2183,2183,1797,2376,2376,2007,2007,2307,1874,1874,2526,2526
216,2216,2150,2216,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2223,2150,2223,2223,2223,2223,2174,2223,2174,2174,2174,2174,2094,2174,2094,2094,2094,2094,2094,2094,3125,2094,3125,3125,3125,3125,3902,3125,3902,3902,3902,3902,2756,3902,2756,2756,2756,2756,2756,2756,2342,2342,2342,2342,2342,2342,2076,2342,2076,2076,2076,2076,2191,2076,2191,2191,2191,2191,2235,2191,2235,2235,2235,2235,2235,2235,2132,2235,2132,2132,2132,2132,2095,2132,2095,2095,2095,2095,2181,2095,2181,2181,2181,2181,2261,2181,2261,2261,2261,2261,2261,2261,2164,2261,2164,2164,2164,2164,2174,2164,2174,2174,2174,2174,2195,2174,2195,2195,2195,2195,2195,2195,2191,2191,2191,2191,2191,2191,2186,2191,2186,2186,2186,2186,3164,2186,3164,3164,3164,3164,3920,3164,3920,3920,3920,3920,3920,3920,3517,3920,3517,3517,3517,3517,2318,3517,2318,2318,2318,2318,2182,2318,2182,2182,2182,2182,2146,2182,2146,2146,2146,2146,2146,2146,2094,2146,2094,2094,2094,2094,1890,2094,1890,1890,1890,1890,2151,1890,2151,2151,2151,2151,2151,2151,2225,2225,2225,2225,2225,2225,2125,2225,2125,2125,2125,2125,2208,2125,2208,2208,2208,2208,2212,2208,2212,2212,2212,2212,2212,2212,2100,2212,2100,2100,2100,2100,2112,2100,2112,2112,2112,2112,2301,2112,2301,2301,2301,2301,3215,2301,3215,3215,3215,3215,3215,3215,3944,3215,3944,3944,3944,3944,3740,3944,3740,3740,3740,3740,2307,3740,2307,2307,2307,2307,2307,2307,3172,3172,3172,3172,3172,3172,3162,3172,3162,3162,3162,3162,3181,3162,3181,3181,3181,3181,3096,3181,3096,3096,3096,3096,3096,3096,3129,3096,3129,3129,3129,3129,3104,3129,3104,3104,3104,3104,3194,3104,3194,3194,3194,3194,3165,3194,3165,3165,3165,3165,3165,3165,3209,3165,3209,3209,3209,3209,3123,3209,3123,3123,3123,3123,3148,3123,3148,3148,3148,3148,3148,3148,2897,2897,2897,2897,2897,2897,3242,2897,3242,3242,3242,3242,3907,3242,3907,3907,3907,3907,2769,3907,2769,2769,2769,2769,2769,2769,2308,2769,2308,2308,2308,2308,3135,2308,3135,3135,3135,3135,3188,3135,3188,3188,3188,3188,3196,3188,3196,3196,3196,3196,3196,3196,3151,3196,3151,3151,3151,3151,3124,3151,3124,3124,3124,3124,3129,3124,3129,3129,3129,3129,3129,3129,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3226,3156,3226,3226,3226,3226,3137,3226,3137,3137,3137,3137,3137,3137,3185,3137,3185,3185,3185,3185,2943,3185,2943,2943,2943,2943,3210,2943,3210,3210,3210,3210,3951,3210,3951,3951,3951,3951,3951,3951,2641,3951,2641,2641,2641,2641,2300,2641,2300,2300,2300,2300,3165,2300,3165,3165,3165,3165,3165,3165,3149,3149,3149,3149,3149,3149,3150,3149,3150,3150,3150,3150,3152,3150,3152,3152,3152,3152,3119,3152,3119,3119,3119,3119,3119,3119,2959,3119,2959,2959,2959,2959,3228,2959,3228,3228,3228,3228,3194,3228,3194,3194,3194,3194,3176,3194,3176,3176,3176,3176,3176,3176,3109,3176,3109,3109,3109,3109,3129,3109,3129,3129,3129,3129,2798,3129,2798,2798,2798,2798,2798,2798,3286,3286,3286,3286,3286,3286,3856,3286,3856,3856,3856,3856,3533,3856,3533,3533,3533,3533,2284,3533,2284,2284,2284,2284,2284,2284,3388,2284,3388,3388,3388,3388,3170,3388,3170,3170,3170,3170,3268,3170,3268,3268,3268,3268,3146,3268,3146,3146,3146,3146,3146,3146,3117,3146,3117,3117,3117,3117,3112,3117,3112,3112,3112,3112,3186,3112,3186,3186,3186,3186,3186,3186,3212,3212,3212,3212,3212,3212,3131,3212,3131,3131,3131,3131,3148,3131,3148,3148,3148,3148,3129,3148,3129,3129,3129,3129,3129,3129,2811,3129,2811,2811,2811,2811,3203,2811,3203,3203,3203,3203,3744,3203,3744,3744,3744,3744,3516,3744,3516,3516,3516,3516,3516,3516,2432,3516,2432,2432,2432,2432,3181,2432,3181,3181,3181,3181,3183,3181,3183,3183,3183,3183,3183,3183,3171,3171,3171,3171,3171,3171,3114,3171,3114,3114,3114,3114,3062,3114,3062,3062,3062,3062,3151,3062,3151,3151,3151,3151,3151,3151,3181,3151,3181,3181,3181,3181,3189,3181,3189,3189,3189,3189,3176,3189,3176,3176,3176,3176,3146,3176,3146,3146,3146,3146,3146,3146,3118,3146,3118,3118,3118,3118,2755,3118,2755,2755,2755,2755,3199,2755,3199,3199,3199,3199,3199,3199,3955,3955,3955,3955,3955,3955,2799,3955,2799,2799,2799,2799,2284,2799,2284,2284,2284,2284,3121,2284,3121,3121,3121,3121
3186,3186,3176,3166,3166,3244,3244,2927,3166,3166,3157,3157,3199,3173,3173,3176,3176,3907,2853,2853,2518,3152,3152,3141,3141,3256,3184,3184,3153,3153,3156,3166,3166,3169,3169,3148,3166,3166,3148,3196,3196,3188,3188,3953,3429,3429,2359,2359,3111,3119,3119,3080,3080,3116,3224,3224,3193,3267,3267,3217,3217,3143,3035,3035,3151,3151,3124,3090,3090,3904,3904,3531,2622,2622,3151,3171,3171,3167,3167,3196,3160,3160,3119,3119,3136,3151,3151,3139,3139,3152,3178,3178,3172,3151,3151,3995,3995,2814,2518,2518,3163,3163,3187,3165,3165,3164,3164,3151,3157,3157,3168,3197,3197,3193,3193,3151,3160,3160,3183,3183,3161,3935,3935,2848,2848,2462,3149,3149,3129,3154,3154,3257,3257,3002,3134,3134,3156,3156,3185,3173,3173,3245,3245,3179,3182,3182,3160,3904,3904,3500,3500,2280,3179,3179,3215,3215,3113,3136,3136,3116,3116,3209,3155,3155,3186,3151,3151,3158,3158,3156,3189,3189,3172,3172,3904,3456,3456,2434,2434,3135,3151,3151,3176,3186,3186,3160,3160,3238,3129,3129,3178,3178,3181,3144,3144,3146,3146,3152,3215,3215,3907,2767,2767,2543,2543,3183,3144,3144,3151,3151,3165,3184,3184,3187,3187,3042,3031,3031,3176,3158,3158,3180,3180,3157,3182,3182,3915,3915,2781,2476,2476,3151,3151,3135,3142,3142,3119,3183,3183,3153,3153,3152,3153,3153,3128,3128,3183,3154,3154,3187,3187,3214,3904,3904,3528,2668,2668,3195,3195,3280,3149,3149,3189,3189,3185,3116,3116,3128,3128,3160,3179,3179,3213,3229,3229,3200,3200,3205,3968,3968,3565,3565,2404,3179,3179,3297,3297,3161,3183,3183,3144,3160,3160,3168,3168,3244,3168,3168,3179,3179,3172,3159,3159,3260,3260,4095,3129,3129,2461,3449,3449,3187,3187,3104,2951,2951,2854,2854,3063,3038,3038,3003,3003,3165,3165,3165,3140,3215,3215,3193,3193,3137,2774,2774,2536,2536,3181,3183,3183,3166,3166,3148,3138,3138,3135,3149,3149,3141,3141,3180,3144,3144,3108,3108,3168,3144,3144,3920,3920,3564,2398,2398,3183,3134,3134,3180,3180,3198,3213,3213,3185,3185,3161,3197,3197,3174,3174,3160,3193,3193,3071,3178,3178,3904,3904,3537,2586,2586,3226,3226,3161,3130,3130,3157,3157,3182,3177,3177,3168,3220
2492,2492,1789,2492,1789,1789,1789,1789,1789,1789,2231,1789,2231,2231,2231,2231,2170,2231,2170,2170,2170,2170,2488,2170,2488,2488,2488,2488,2526,2488,2526,2526,2526,2526,2526,2526,2223,2526,2223,2223,2223,2223,2008,2223,2008,2008,2008,2008,2481,2008,2481,2481,2481,2481,2481,2481,2435,2435,2435,2435,2435,2435,3145,2435,3145,3145,3145,3145,3944,3145,3944,3944,3944,3944,3160,3944,3160,3160,3160,3160,3160,3160,3191,3160,3191,3191,3191,3191,2684,3191,2684,2684,2684,2684,1423,2684,1423,1423,1423,1423,2504,1423,2504,2504,2504,2504,2504,2504,1797,2504,1797,1797,1797,1797,1986,1797,1986,1986,1986,1986,2211,1986,2211,2211,2211,2211,2211,2211,2470,2470,2470,2470,2470,2470,2372,2470,2372,2372,2372,2372,2272,2372,2272,2272,2272,2272,2126,2272,2126,2126,2126,2126,2126,2126,2014,2126,2014,2014,2014,2014,2175,2014,2175,2175,2175,2175,2745,2175,2745,2745,2745,2745,3935,2745,3935,3935,3935,3935,3935,3935,3184,3935,3184,3184,3184,3184,3153,3184,3153,3153,3153,3153,2431,3153,2431,2431,2431,2431,2431,2431,1429,1429,1429,1429,1429,1429,2560,1429,2560,2560,2560,2560,1759,2560,1759,1759,1759,1759,2000,1759,2000,2000,2000,2000,2000,2000,2219,2000,2219,2219,2219,2219,2527,2219,2527,2527,2527,2527,2368,2527,2368,2368,2368,2368,2221,2368,2221,2221,2221,2221,2221,2221,2200,2221,2200,2200,2200,2200,2031,2200,2031,2031,2031,2031,1982,2031,1982,1982,1982,1982,1982,1982,2798,2798,2798,2798,2798,2798,3923,2798,3923,3923,3923,3923,3175,3923,3175,3175,3175,3175,3028,3175,3028,3028,3028,3028,3028,3028,2756,3028,2756,2756,2756,2756,1562,2756,1562,1562,1562,1562,2608,1562,2608,2608,2608,2608,1742,2608,1742,1742,1742,1742,1742,1742,1957,1742,1957,1957,1957,1957,2157,1957,2157,2157,2157,2157,2504,2157,2504,2504,2504,2504,2504,2504,2600,2600,2600,2600,2600,2600,2207,2600,2207,2207,2207,2207,2036,2207,2036,2036,2036,2036,2501,2036,2501,2501,2501,2501,2501,2501,2323,2501,2323,2323,2323,2323,2877,2323,2877,2877,2877,2877,3932,2877,3932,3932,3932,3932,3143,3932,3143,3143,3143,3143,3143,3143,3189,3143,3189,3189,3189,3189,3047,3189,3047,3047,3047,3047,1615,3047,1615,1615,1615,1615,1615,1615,2606,2606,2606,2606,2606,2606,1722,2606,1722,1722,1722,1722,1942,1722,1942,1942,1942,1942,2126,1942,2126,2126,2126,2126,2126,2126,2708,2126,2708,2708,2708,2708,2696,2708,2696,2696,2696,2696,2396,2696,2396,2396,2396,2396,2352,2396,2352,2352,2352,2352,2352,2352,2624,2352,2624,2624,2624,2624,2465,2624,2465,2465,2465,2465,2961,2465,2961,2961,2961,2961,2961,2961,3775,3775,3775,3775,3775,3775,2872,3775,2872,2872,2872,2872,2860,2872,2860,2860,2860,2860,2840,2860,2840,2840,2840,2840,2840,2840,1555,2840,1555,1555,1555,1555,2664,1555,2664,2664,2664,2664,1771,2664,1771,1771,1771,1771,1919,1771,1919,1919,1919,1919,1919,1919,2239,1919,2239,2239,2239,2239,2683,2239,2683,2683,2683,2683,2562,2683,2562,2562,2562,2562,2562,2562,2191,2191,2191,2191,2191,2191,2244,2191,2244,2244,2244,2244,2415,2244,2415,2415,2415,2415,2172,2415,2172,2172,2172,2172,2172,2172,2842,2172,2842,2842,2842,2842,3917,2842,3917,3917,3917,3917,3152,3917,3152,3152,3152,3152,3129,3152,3129,3129,3129,3129,3129,3129,2584,3129,2584,2584,2584,2584,1516,2584,1516,1516,1516,1516,2672,1516,2672,2672,2672,2672,2672,2672,1841,1841,1841,1841,1841,1841,1936,1841,1936,1936,1936,1936,2203,1936,2203,2203,2203,2203,2653,2203,2653,2653,2653,2653,2653,2653,2600,2653,2600,2600,2600,2600,2192,2600,2192,2192,2192,2192,2344,2192,2344,2344,2344,2344,2435,2344,2435,2435,2435,2435,2435,2435,2120,2435,2120,2120,2120,2120,2858,2120,2858,2858,2858,2858,3909,2858,3909,3909,3909,3909,3909,3909,3151,3151,3151,3151,3151,3151,3188,3151,3188,3188,3188,3188,2862,3188,2862,2862,2862,2862,1631,2862,1631,1631,1631,1631,1631,1631,2640,1631,2640,2640,2640,2640,1725,2640,1725,1725,1725,1725,2002,1725,2002,2002,2002,2002,2117,2002,2117,2117,2117,2117,2117,2117,2538,2117,2538,2538,2538,2538,2672,2538,2672,2672,2672,2672,2252,2672,2252,2252,2252,2252,2252,2252,2216,2216,2216,2216,2216,2216,2400,2216,2400,2400,2400,2400,2823,2400,2823,2823,2823,2823,2733,2823,2733,2733,2733,2733
